
RACE      	  258.5700	  256.0357	  247.1733	  256.6320
TM        	  184.4000	  188.7945	  201.0863	  195.9339
GM        	   63.4000	   64.3930	   64.4075	   70.5090
HMC       	   29.1000	   28.8712	   29.8292	   30.1024
F         	   19.5000	   19.5714	   20.2305	   18.1889
MZDAY     	    4.5700	    4.4078	    4.4762	    4.3950
FUJHY     	    9.4400	    9.0432	    8.7889	    9.4263
TSLA      	 1033.4200	  925.5809	  706.5778	  580.0375
NIO       	   42.6700	   41.6482	   44.6517	   41.7331
JCI       	   78.2000	   80.7557	   83.4342	   83.7861
PLUG      	   43.1400	   45.9300	   46.5040	   48.2774
ENPH      	  251.6200	  271.2573	  250.2462	  230.1433
ENS       	   80.3400	   77.7628	   78.4846	   92.0015
BLDP      	   18.2700	   18.3199	   16.3497	   12.5921
ENR       	   38.3500	   37.9499	   39.3772	   33.9405
ALB       	  276.4000	  276.5966	  286.4130	  275.5381
LAC       	   34.3900	   33.6839	   34.4293	   31.2827
QS        	   38.8100	   55.3068	   37.2453	   57.7319
FCEL      	   11.2300	   12.9118	   12.0259	   16.8781
LTHM      	   31.3000	   28.9953	   31.0604	   26.9294
RUN       	   58.6600	   61.0356	   56.4856	   60.5679
ADN       	    9.2600	    8.9148	    8.5009	    8.5480
BE        	   34.1500	   35.9693	   27.7335	   40.3286
CMI       	  236.3400	  233.7391	  232.9533	  235.2381
NVDA      	  303.9000	  304.2294	  317.2650	  302.0480
GOOG      	 2992.9100	 3061.9588	 2846.1537	 2938.8238
AMZN      	 3525.1500	 3550.4292	 3634.1225	 3558.4084
MSFT      	  336.7200	  335.6239	  333.8252	  334.7507
IBM       	  118.9600	  113.3496	  114.3460	  112.5422
FB        	  340.8900	  334.6151	  347.7575	  326.9681
DOCU      	  264.6600	  255.6322	  247.3543	  221.5682
TSM       	  118.6900	  117.5252	  120.7435	  123.7294
ABB       	   35.0600	   35.2698	   35.7467	   35.1548
NICE      	  311.7200	  337.4499	  355.2250	  353.2347
IT        	  332.0400	  330.0237	  328.1222	  336.5194
MTRN      	   91.9000	   89.2585	   90.4156	   87.6771
